yyyymmdd,jindices,jcount,party_list
19990226,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990227,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990228,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990301,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990302,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990303,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990304,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990305,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990306,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990307,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990308,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990309,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990310,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990311,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990312,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990313,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990314,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990315,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990316,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990317,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990318,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990319,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990320,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990321,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990322,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990323,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990324,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990325,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990326,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990327,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990328,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990329,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990330,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990331,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990401,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990402,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990403,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990404,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990405,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990406,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990407,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990408,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990409,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990410,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990411,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990412,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990413,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990414,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990415,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990416,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990417,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
19990418,[ 96  95  92  90 117  91  93  89  94],9,"['Democratic', 'Democratic', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican', 'Republican']"
